2011-12-01 00:00:21.647 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:21.737 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:21.828 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:21.917 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:22.008 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:22.097 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:22.187 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:22.277 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:22.367 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:22.457 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:22.547 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:22.637 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:22.727 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:22.817 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:22.907 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:22.997 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:23.087 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:23.177 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:23.267 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:23.357 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
2011-12-01 00:00:23.447 img_hisi.c-2156     @HI_Get3AStatInfo         [ERR][IMG]ISP[0] HI_MPI_ISP_GetStatistics fail, errno 0xa01c8045
