12-01 00:07:32 879[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:07:32 880[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:07:40 923[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:07:40 923[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:07:48 957[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:07:48 957[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:07:56 998[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:07:56 999[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:08:05 039[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:08:05 039[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:08:13 078[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:08:13 078[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:08:21 118[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:08:21 118[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:08:29 159[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:08:29 159[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:08:37 219[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:08:37 219[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:08:45 258[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:08:45 258[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:08:53 298[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:08:53 298[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:09:01 337[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:09:01 337[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:09:09 377[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:09:09 377[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:09:17 417[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:09:17 417[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:09:25 459[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:09:25 459[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:09:33 498[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:09:33 498[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:09:41 539[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:09:41 539[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:09:43 818[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10145
12-01 00:09:49 577[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:09:49 577[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:09:57 617[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:09:57 617[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:10:05 667[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:10:05 667[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:10:11 399[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10189
12-01 00:10:13 707[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:10:13 707[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:10:21 748[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:10:21 748[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:10:29 789[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:10:29 789[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:10:37 838[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:10:37 838[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:10:45 878[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:10:45 878[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:10:53 918[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:10:53 918[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:11:01 957[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:11:01 957[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:11:10 002[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:11:10 003[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:11:18 037[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:11:18 037[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:11:26 098[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:11:26 098[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:11:34 137[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:11:34 137[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:11:42 177[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:11:42 177[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:11:50 217[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:11:50 217[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:11:58 258[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:11:58 258[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:12:06 297[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:12:06 297[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:12:14 347[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:12:14 348[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:12:22 388[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:12:22 388[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:12:30 430[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:12:30 431[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:12:38 467[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:12:38 467[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:12:46 507[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:12:46 507[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:12:54 547[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:12:54 547[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:13:02 597[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:13:02 597[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:13:10 637[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:13:10 637[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:13:18 677[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:13:18 677[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:13:26 717[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:13:26 717[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:13:34 760[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:13:34 760[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:13:42 797[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:13:42 798[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:13:50 849[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:13:50 849[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:13:58 887[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:13:58 887[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:14:06 927[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:14:06 927[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:14:14 967[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:14:14 967[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:14:23 007[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:14:23 007[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:14:31 057[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:14:31 057[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:14:39 100[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:14:39 100[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:14:47 137[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:14:47 137[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:14:55 179[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:14:55 179[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:15:03 218[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:15:03 218[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:15:11 269[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
